username,anime_id,my_watched_episodes,my_start_date,my_finish_date,my_score,my_status,my_rewatching,my_rewatching_ep,my_last_updated,my_tags
karthiga,5262,51,0000-00-00,0000-00-00,7,2,,0,2013-05-05 14:23:55,
karthiga,5690,11,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:19:23,
karthiga,5835,39,0000-00-00,0000-00-00,7,2,,0,2013-04-27 16:40:40,
karthiga,6045,25,0000-00-00,0000-00-00,6,2,,0,2013-03-09 17:04:55,
karthiga,6586,50,0000-00-00,0000-00-00,6,2,,0,2013-03-10 14:18:30,
karthiga,6645,12,0000-00-00,0000-00-00,5,2,,0,2013-03-10 14:15:39,
karthiga,7054,26,0000-00-00,0000-00-00,9,2,,0,2013-03-03 10:54:36,
karthiga,7674,25,0000-00-00,0000-00-00,7,2,,0,2013-04-27 16:22:23,
karthiga,7817,12,0000-00-00,0000-00-00,5,2,,0,2013-03-09 17:16:29,
karthiga,9513,60,0000-00-00,0000-00-00,7,2,,0,2013-03-09 17:20:05,
karthiga,9656,12,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:20:56,
karthiga,9863,77,0000-00-00,0000-00-00,7,2,,0,2013-04-27 16:09:19,
karthiga,9926,12,0000-00-00,0000-00-00,7,2,,0,2013-04-27 16:23:25,
karthiga,10030,25,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:15:25,
karthiga,10800,25,0000-00-00,0000-00-00,7,2,0.0,0,2013-03-31 14:14:23,
karthiga,11013,12,0000-00-00,0000-00-00,8,2,,0,2013-05-05 14:24:59,
karthiga,11123,12,0000-00-00,0000-00-00,7,2,,0,2013-04-27 16:16:29,
karthiga,11759,24,0000-00-00,0000-00-00,5,2,,0,2013-03-17 14:11:25,
karthiga,12365,25,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:12:43,
karthiga,14227,13,0000-00-00,0000-00-00,8,2,,0,2013-04-27 16:37:15,
karthiga,14397,0,0000-00-00,0000-00-00,7,3,0.0,0,2013-03-31 14:15:01,
karthiga,14713,13,0000-00-00,0000-00-00,10,2,,0,2013-03-03 10:55:25,
Damonashu,21,418,0000-00-00,0000-00-00,10,1,0.0,0,2009-09-30 07:39:05,
Damonashu,232,1,0000-00-00,0000-00-00,0,4,,0,2009-10-18 20:50:57,
Damonashu,249,167,0000-00-00,0000-00-00,4,2,0.0,0,1970-01-01 00:00:00,
Damonashu,269,0,0000-00-00,0000-00-00,2,4,,0,1970-01-01 00:00:00,
Damonashu,853,26,0000-00-00,2009-07-31,6,2,0.0,0,2009-07-31 21:07:47,
Damonashu,857,25,0000-00-00,2008-08-11,4,2,0.0,0,2008-08-11 17:45:54,
Damonashu,1571,0,0000-00-00,0000-00-00,0,6,0.0,0,2009-07-10 07:49:35,
Damonashu,6045,0,0000-00-00,0000-00-00,0,6,,0,2010-10-24 23:03:37,
Damonashu,9863,9,0000-00-00,0000-00-00,0,1,0.0,0,2011-06-04 02:15:42,
Damonashu,1,26,0000-00-00,0000-00-00,10,2,1.0,0,2016-09-17 09:57:07,
